organism_id,antibiotic_id,resistance_pct,n_isolates
B_STRPT_PNMN,CLI,6.8,5561
B_STRPT_PNMN,ERY,12.4,5997
B_STRPT_PNMN,AMX,1.5,1413
B_STRPT_PNMN,AMC,1.4,2308
B_STRPT_PNMN,AMP,2.3,4405
B_STRPT_PNMN,SAM,1.2,2984
B_STRPT_PNMN,PEN,3.3,6392
B_STRPT_PNMN,PIP,1.4,1880
B_STRPT_PNMN,TZP,1.0,1787
B_STRPT_PNMN,SXT,8.2,5173
B_STRPT_PNMN,LNZ,0.0,3772
B_STRPT_PNMN,RIF,0.4,3053
B_STRPT_PNMN,DOX,9.2,2739
B_STRPT_PNMN,TCY,9.1,4024
